;l_id;v_id_1;v_id_2;voltage;cables;wires;frequency;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation
389;390;95;287;220000;3.0;2.0;50.0;Ibbenbüren B;Amprion;;10454;0.08;0.32;11.5;1.3;2553276.0
390;391;63;288;220000;3.0;2.0;50.0;;EnBW;BUEHL-WEIER;28906;0.08;0.32;11.5;1.3;2553837.0
391;392;289;95;220000;3.0;1.0;50.0;Nike Süd;Amprion;;13109;0.16;0.64;5.75;0.65;2573771.0
392;393;8;102;380000;3.0;4.0;50.0;;50Hertz;419;87239;0.025;0.25;13.7;2.6;2910798.0
393;394;8;101;380000;3.0;4.0;;;50Hertz;420;111193;0.025;0.25;13.7;2.6;2910799.0
394;395;80;290;380000;3.0;;50.0;;50Hertz;551;46065;;;;;2927579.0
395;396;80;290;380000;3.0;;50.0;;50Hertz;552;46055;;;;;2927580.0
396;397;80;291;380000;3.0;3.0;50.0;;;MQ;5980;0.033333;0.333333;10.275;1.95;2927597.0
397;398;80;291;380000;3.0;3.0;50.0;;;MR;6160;0.033333;0.333333;10.275;1.95;2927598.0
398;399;80;291;380000;3.0;3.0;50.0;;;MN;6692;0.033333;0.333333;10.275;1.95;2927599.0
399;400;80;291;380000;3.0;3.0;50.0;;;MP;6544;0.033333;0.333333;10.275;1.95;2927600.0
400;401;278;292;220000;3.0;1.0;50.0;;50Hertz;335;26903;0.16;0.64;5.75;0.65;2928064.0
401;402;278;292;220000;3.0;1.0;50.0;;50Hertz;336;26898;0.16;0.64;5.75;0.65;2928066.0
402;403;37;292;380000;3.0;3.0;50.0;;50Hertz;438;48848;0.033333;0.333333;10.275;1.95;2928164.0
403;404;292;74;380000;3.0;3.0;50.0;532;50Hertz;532;179417;0.033333;0.333333;10.275;1.95;2928165.0
404;405;292;74;380000;3.0;3.0;50.0;531;50Hertz;531;179406;0.033333;0.333333;10.275;1.95;2928166.0
405;406;37;292;380000;3.0;3.0;50.0;;50Hertz;437;48771;0.033333;0.333333;10.275;1.95;2928167.0
406;407;78;293;220000;3.0;2.0;50.0;;50Hertz;383;16091;0.08;0.32;11.5;1.3;2952529.0
407;408;78;293;220000;3.0;2.0;50.0;;50Hertz;384;16123;0.08;0.32;11.5;1.3;2952531.0
408;409;78;294;380000;3.0;3.0;50.0;;50Hertz;463;50419;0.033333;0.333333;10.275;1.95;2952534.0
409;410;78;294;380000;3.0;3.0;50.0;;50Hertz;464;50384;0.033333;0.333333;10.275;1.95;2952535.0
410;411;199;248;220000;3.0;2.0;50.0;Lünen 7;RWE;;2350;0.08;0.32;11.5;1.3;3028644.0
411;412;5;295;220000;3.0;1.0;50.0;Leitung 2025;TenneT;2;10724;0.16;0.64;5.75;0.65;3098194.0
412;413;1;2;220000;3.0;2.0;50.0;Leitung 2016;TenneT;2016;43392;0.08;0.32;11.5;1.3;3109536.0
413;414;4;296;380000;3.0;4.0;50.0;;TenneT;;1387;0.025;0.25;13.7;2.6;3109537.0
414;415;4;296;380000;3.0;4.0;50.0;Leitung 3004;TenneT;;1118;0.025;0.25;13.7;2.6;3109538.0
415;416;2;201;220000;3.0;2.0;50.0;Leitung 2010/2023;TenneT;2;76534;0.08;0.32;11.5;1.3;3109602.0
416;417;3;4;380000;3.0;4.0;50.0;Leitung 3011;TenneT;;72710;0.025;0.25;13.7;2.6;3109630.0
417;418;5;297;220000;3.0;2.0;50.0;Leitung 2028/2029;TenneT;3;16058;0.08;0.32;11.5;1.3;3113413.0
418;419;5;298;220000;3.0;2.0;50.0;Leitung 2028;TenneT;2;6658;0.08;0.32;11.5;1.3;3113414.0
419;420;297;299;220000;3.0;2.0;50.0;Leitung 2027;TenneT;1;30710;0.08;0.32;11.5;1.3;3113438.0
420;421;61;161;220000;3.0;2.0;50.0;201 grün;TenneT;201;35163;0.08;0.32;11.5;1.3;3114809.0
421;422;5;6;220000;3.0;2.0;50.0;Leitung 2024;TenneT;1;33893;0.08;0.32;11.5;1.3;3115297.0
422;423;117;123;380000;3.0;4.0;50.0;Ville Ost;Amprion;;33945;0.025;0.25;13.7;2.6;3228400.0
423;424;133;117;380000;3.0;2.0;50.0;Walberberg West;Amprion;;12909;0.05;0.5;6.85;1.3;3228401.0
424;425;71;74;380000;3.0;3.0;50.0;502;50Hertz;502;169061;0.033333;0.333333;10.275;1.95;3302864.0
425;426;74;280;380000;;4.0;50.0;561 Ragow-Streumen;50Hertz;561;89009;;;;;3306342.0
426;427;74;280;380000;;4.0;50.0;562 Ragow-Streumen;50Hertz;562;89020;;;;;3306343.0
427;428;94;265;220000;3.0;2.0;50.0;Bohmte Ost;Amprion;;21143;0.08;0.32;11.5;1.3;3345100.0
428;429;300;94;220000;3.0;2.0;50.0;Diepholz Ost;Amprion;;32836;0.08;0.32;11.5;1.3;3345101.0
